Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
12/9/2014,Fr,6.3,16.3,,3,4.4,WNW,22,0:17,9.7,69,,SW,13,1027.2,14.8,42,,S,4,1026
13/9/2014,Sa,6.6,18.9,,2,9.9,N,28,11:30,10,69,,NNE,9,1026.4,18,41,,S,9,1021.9
14/9/2014,Su,7.3,20.9,,3,9.7,SSE,31,15:58,11.8,64,,N,13,1021.9,19.1,38,,E,11,1017.8
15/9/2014,Mo,9.3,18.7,0.2,2.4,0.8,ESE,26,15:24,11.2,87,7,NNE,9,1016.3,17.9,57,7,SSW,7,1010.5
16/9/2014,Tu,11.2,15,0,1.6,0.4,SSW,39,13:36,13.8,78,7,WSW,22,1009.7,13.5,83,7,SW,24,1010.3
17/9/2014,We,8.9,16.7,3.2,1,6.1,SW,67,14:16,12.8,65,6,W,31,1013.7,12.9,55,7,WSW,33,1014.9
18/9/2014,Th,7.7,14,0.4,2.8,3.6,SSE,41,13:50,10.9,64,7,SW,22,1022.7,13.3,65,7,SSW,20,1022.7
19/9/2014,Fr,8.6,15.7,1.4,2,6.3,SSE,39,14:55,12.1,64,5,SW,24,1025.2,14.5,61,7,SSE,26,1023.7
20/9/2014,Sa,10,17.5,0,2.6,5.6,SSE,37,11:10,13,70,,SSW,17,1028,16,53,,S,22,1027.2
21/9/2014,Su,11.7,17.5,0,2.8,9.6,SSE,30,11:40,13.9,49,,SSE,9,1031.5,17.2,45,,S,15,1029.3
22/9/2014,Mo,5.6,23.7,0,3.4,11.2,NNE,43,14:37,11.7,66,0,N,13,1029.9,22.9,31,,NNE,30,1025.7
23/9/2014,Tu,10.2,25.8,0,6,11.2,N,39,8:22,17.1,45,2,NNE,28,1027.1,25.2,26,,N,24,1022.2
24/9/2014,We,15.2,23.7,0,8.4,2.3,N,74,11:56,20.5,39,6,N,37,1016.5,21.4,47,,N,33,1012.9
25/9/2014,Th,13.6,17.1,13.2,9,0.8,SSW,41,6:35,14.4,91,8,SSW,22,1016.9,17,58,,S,20,1017.8
26/9/2014,Fr,10.7,19.5,0,1.6,5.2,S,28,11:09,13,74,,SW,17,1020,18.7,41,,SSE,9,1018.3
27/9/2014,Sa,8.8,23.4,0,2.6,11.2,N,67,23:12,15.5,63,,N,22,1020.2,22.3,42,,N,30,1016.6
28/9/2014,Su,15.5,28,0,9.2,10.7,N,102,11:22,19.8,43,,N,57,1013,26,37,,N,61,1005.6
29/9/2014,Mo,14.4,23.6,0,9.4,11.4,N,56,14:12,17.1,45,1,WNW,17,1013.9,22.3,34,,NNW,31,1010.7
30/9/2014,Tu,14.2,24.2,0,6.2,7.8,WSW,87,15:10,18.1,47,,N,37,1008.9,23.1,26,,NW,43,1003.6
1/8/2014,Fr,6,10.3,6.6,6,3.4,W,63,11:39,7.6,60,7,NW,22,1003.9,8.6,73,7,W,33,1009.6
2/8/2014,Sa,4.7,13.6,,2.4,6.5,WSW,37,1:18,5.1,86,,W,19,1029.9,12,36,,SE,13,1030.6
3/8/2014,Su,1.4,14.8,,0.6,10,N,28,0:53,2.9,81,,N,20,1034.5,13.6,36,,N,11,1031.8
4/8/2014,Mo,1.8,15.3,,3.2,10,N,31,8:39,4.4,70,,N,24,1034.2,14.7,33,,NW,7,1031
5/8/2014,Tu,4.4,16.8,14.2,2.4,2.8,N,35,3:49,10.7,61,6,N,13,1033.4,15.7,47,7,WSW,24,1031.7
6/8/2014,We,10.6,16.5,0,2.6,2.7,N,33,16:58,12.6,59,7,NNW,7,1031.8,15.5,47,7,W,20,1028.5
7/8/2014,Th,10.7,14,0.8,2,0.3,WSW,28,9:57,11.5,80,8,N,11,1030.8,13.6,77,7,W,19,1029.3
8/8/2014,Fr,10.7,16.4,3.6,1.4,1.4,WNW,30,11:44,12,79,7,NNW,13,1031,15,40,7,NW,13,1029
