Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),
25/11/2014,Tu,11.1,22.2,0,6.2,10.9,SW,31,11:34,16.2,59,,WNW,7,1023.4,20.9,31,,SSW,17,1022.5,25/11/2014/11/2014
26/11/2014,We,10.4,25.5,0,5.4,13.3,SSE,35,15:31,17.5,52,,SSE,6,1024.1,23.6,43,,WSW,20,1021.3,26/11/2014/11/2014
27/11/2014,Th,13.2,28.6,0,5.8,13.4,SE,31,15:02,19.3,52,,S,9,1024.1,27.4,25,,SSE,15,1020.6,27/11/2014/11/2014
28/11/2014,Fr,11.9,31.6,0,7.2,8.8,WSW,30,13:55,22.9,35,,WNW,7,1020,29,23,,SW,19,1016.4,28/11/2014/11/2014
29/11/2014,Sa,15.6,35.7,0,,9.3,WNW,30,12:00,25.6,32,,SW,2,1011.8,35.2,11,,WNW,11,1008.5,29/11/2014/11/2014
30/11/2014,Su,25.6,30.6,0,,12.7,NW,46,7:19,29.1,14,,N,19,1005.6,29.7,37,,W,17,1005.7,30/11/2014/11/2014
1/10/2014,We,9.4,18.5,0.8,3.2,10.2,WSW,37,15:15,15,43,,SSW,13,1028.2,17.6,46,,WSW,20,1026.7,1/10/2014/10/2014
2/10/2014,Th,6.5,19.5,0,4,9,WSW,30,12:41,14,57,,SSE,9,1029,17.7,50,,WSW,17,1025,2/10/2014/10/2014
3/10/2014,Fr,7.8,26.5,0,4,11.2,N,26,11:46,18.4,47,,NNE,11,1021.2,25.8,27,,W,9,1016.4,3/10/2014/10/2014
4/10/2014,Sa,12.1,31.9,0,,11.3,NNW,39,12:26,24.4,23,,N,13,1015.3,30.9,15,,WNW,19,1012.1,4/10/2014/10/2014
5/10/2014,Su,13.6,28.7,0,,10.8,NNE,24,12:53,16.6,63,,ESE,11,1017.3,25.1,40,,NNE,6,1012.7,5/10/2014/10/2014
6/10/2014,Mo,16.6,29.1,0,,0.1,NW,85,13:19,27.8,16,,N,19,1002.8,22.3,64,,WNW,33,1002,6/10/2014/10/2014
7/10/2014,Tu,13.2,18.9,0,17.6,9.6,SW,43,8:03,14.3,66,,SW,24,1018.8,18,41,,WSW,13,1020.3,7/10/2014/10/2014
8/10/2014,We,9.2,20.5,0,3.6,8.5,S,28,12:35,12.9,73,,NNE,7,1024.6,19.4,46,,W,13,1023.1,8/10/2014/10/2014
9/10/2014,Th,8.1,29.4,0,3,11.8,N,31,13:57,19.4,36,,NE,13,1020.1,27.9,14,,N,17,1015.7,9/10/2014/10/2014
10/10/2014,Fr,15.4,32.1,0,5.8,9.5,WSW,35,16:16,21.8,27,,SW,6,1012.7,31.7,10,,NW,11,1009.6,10/10/2014/10/2014
11/10/2014,Sa,12.7,21.7,0,,11.5,S,30,2:24,15.2,62,,S,13,1018,20.5,49,,WSW,17,1014.2,11/10/2014/10/2014
12/10/2014,Su,9.5,21.5,0,,10.1,SW,41,18:04,14.5,75,,NNW,4,1013.4,20.6,50,,WSW,15,1011.3,12/10/2014/10/2014
13/10/2014,Mo,9.3,16.7,0,15.8,10.4,SSW,50,14:18,12.3,49,,S,20,1021,16.1,31,,SSW,19,1022.2,13/10/2014/10/2014
14/10/2014,Tu,6.1,16.5,0,3.8,5,S,39,14:37,12.8,52,,SSW,15,1027.9,15.6,38,,SSE,20,1026.4,14/10/2014/10/2014
15/10/2014,We,5.1,18,0,3,12.3,W,31,14:09,13.1,49,,WSW,7,1026.4,17,39,,W,20,1023.6,15/10/2014/10/2014
16/10/2014,Th,7.6,19.1,0,3.4,6.7,WSW,30,16:45,12,61,,N,7,1025,18.6,44,,WSW,15,1023.5,16/10/2014/10/2014
17/10/2014,Fr,8.5,27.9,0,3.2,12.4,NNE,31,8:31,17.2,38,,NE,20,1024.5,27.4,15,,NW,15,1021.4,17/10/2014/10/2014
18/10/2014,Sa,15.4,32.6,0,,11.1,NW,41,13:17,24.3,16,,NNE,15,1021.4,30.8,9,,WNW,24,1019.3,18/10/2014/10/2014
19/10/2014,Su,16.3,32.8,0,,9.7,NW,39,11:33,24.8,19,,NE,7,1020.8,30.9,13,,SW,13,1020.1,19/10/2014/10/2014
20/10/2014,Mo,13.4,32.5,0,19.4,10.8,E,46,22:49,19.3,48,,WSW,7,1024.4,31.8,17,,ENE,11,1020.9,20/10/2014/10/2014
21/10/2014,Tu,19.3,37.3,0,10.4,8.5,E,43,23:15,28.8,17,,NE,22,1019.8,36.9,9,,NW,20,1017.1,21/10/2014/10/2014
22/10/2014,We,20.4,32.2,0,6.4,11.5,S,43,13:47,27.2,28,,N,6,1016.5,29.1,29,,S,22,1016.1,22/10/2014/10/2014
23/10/2014,Th,13.3,24.4,0,7,10.8,W,28,12:52,17.9,65,,NNW,6,1018,23.1,52,,WSW,15,1014.6,23/10/2014/10/2014
24/10/2014,Fr,14,33.1,0,3.8,3.3,SSW,30,17:06,22.1,50,,NE,7,1015.1,31.7,15,,SW,9,1012.9,24/10/2014/10/2014
25/10/2014,Sa,15.5,25.5,0,,12.5,WNW,26,12:33,20.2,54,,N,6,1017.5,23.6,51,,WSW,19,1016,25/10/2014/10/2014
26/10/2014,Su,14.2,28.7,0,,0,SW,37,22:26,18.3,67,,NE,9,1012.8,24.8,52,,NE,7,1008.7,26/10/2014/10/2014
27/10/2014,Mo,13.8,19.7,4,14.8,12.1,W,57,4:48,15.4,56,,WSW,24,1016.1,18.5,47,,WSW,24,1017.9,27/10/2014/10/2014
28/10/2014,Tu,13.6,21.7,0.2,5,8.5,NW,41,11:13,15.6,79,,W,15,1019.7,20.4,47,,SW,20,1019.4,28/10/2014/10/2014
29/10/2014,We,11.7,24.6,0,4.8,10.1,WSW,28,16:02,17.4,66,,NNE,11,1020.3,24,35,,WSW,13,1017.2,29/10/2014/10/2014
30/10/2014,Th,10.9,28.2,0,4,12.4,W,28,11:15,17.2,64,,SE,6,1016.8,25.8,20,,NW,9,1013,30/10/2014/10/2014
31/10/2014,Fr,14.1,35.2,0,5.2,9,NNW,48,11:57,26.9,18,,NE,19,1005,32.4,17,,SW,17,1000.8,31/10/2014/10/2014
